task_id,date_field,vendor,project_code,miles,unit_price,amount_currency,currency,hours
25,Feb-23-2026,Global CAD Solutions,PA-DARK-FIBER,24.5,40.78,$,€,34
26,Mar-15-2026,Continental Drafting Ltd.,PA-DARK-FIBER,33.0,41.94,$,€,46
27,Jan-13-2026,Global CAD Solutions,OH-EXPANSION,20.6,40.17,$,£,28
28,Feb-07-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,39.5,39.98,$,$,55
29,Mar-20-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,11.3,40.55,$,€,15
30,Jan-12-2026,Continental Drafting Ltd.,NC-RING,8.8,41.93,$,€,12
31,Feb-05-2026,Continental Drafting Ltd.,FL-BACKHAUL,16.1,39.56,$,£,22
32,Mar-04-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,35.2,42.47,$,£,49
33,Jan-16-2026,Southfield GIS Inc.,VA-METRO-ROUTE,10.7,38.46,$,£,14
34,Feb-16-2026,Southfield GIS Inc.,PA-DARK-FIBER,30.1,40.32,$,$,42
35,Mar-05-2026,Southfield GIS Inc.,FL-BACKHAUL,25.4,38.12,$,€,35
36,Jan-21-2026,Southfield GIS Inc.,PA-DARK-FIBER,10.9,41.8,$,€,15
37,Feb-06-2026,Southfield GIS Inc.,VA-METRO-ROUTE,32.7,40.4,$,€,45
38,Mar-21-2026,Dominion Aluminum & Fasteners,TX-LONG-HAUL,27.6,41.55,$,$,38
39,Jan-27-2026,Continental Drafting Ltd.,OH-EXPANSION,31.7,39.02,$,€,44
40,Feb-12-2026,Continental Drafting Ltd.,FL-BACKHAUL,8.9,38.13,$,£,12
41,Mar-09-2026,Southfield GIS Inc.,TX-LONG-HAUL,30.2,42.3,$,£,42
42,Jan-12-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,15.1,39.02,$,$,21
43,Feb-07-2026,Continental Drafting Ltd.,OH-EXPANSION,28.0,42.05,$,$,39
44,Mar-21-2026,Global CAD Solutions,VA-METRO-ROUTE,33.6,38.38,$,€,47
45,Jan-13-2026,Continental Drafting Ltd.,PA-DARK-FIBER,30.8,38.9,$,$,43
46,Feb-26-2026,Continental Drafting Ltd.,FL-BACKHAUL,18.6,41.6,$,€,26
47,Mar-15-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,31.8,38.38,$,$,44
48,Jan-05-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,12.8,42.07,$,€,17
49,Feb-20-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,27.1,40.13,$,£,37
50,Mar-18-2026,Global CAD Solutions,NC-RING,12.2,38.06,$,€,17
51,Jan-17-2026,Dominion Aluminum & Fasteners,FL-BACKHAUL,37.9,39.95,$,$,53
52,Feb-01-2026,Southfield GIS Inc.,VA-METRO-ROUTE,14.8,40.26,$,€,20
53,Mar-09-2026,Southfield GIS Inc.,NC-RING,21.4,38.59,$,€,29
54,Jan-15-2026,Dominion Aluminum & Fasteners,FL-BACKHAUL,26.7,42.07,$,£,37
55,Feb-18-2026,Dominion Aluminum & Fasteners,TX-LONG-HAUL,24.8,38.08,$,£,34
56,Mar-20-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,32.8,38.67,$,$,45
57,Jan-20-2026,Continental Drafting Ltd.,FL-BACKHAUL,11.9,38.28,$,€,16
58,Feb-26-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,11.4,40.52,$,$,15
59,Mar-09-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,32.7,40.28,$,€,45
60,Jan-25-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,22.2,40.76,$,€,31
61,Feb-23-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,22.5,40.4,$,£,31
62,Mar-23-2026,Dominion Aluminum & Fasteners,NC-RING,36.0,42.24,$,£,50
63,Jan-27-2026,Southfield GIS Inc.,OH-EXPANSION,12.4,38.55,$,£,17
64,Feb-03-2026,Southfield GIS Inc.,FL-BACKHAUL,15.7,38.33,$,€,21
65,Mar-26-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,36.7,38.7,$,€,51
66,Jan-05-2026,Global CAD Solutions,VA-METRO-ROUTE,36.3,42.35,$,$,50
67,Feb-13-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,13.2,41.01,$,$,18
68,Mar-23-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,39.8,39.82,$,£,55
69,Jan-12-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,11.0,39.65,$,£,15
70,Feb-15-2026,Southfield GIS Inc.,FL-BACKHAUL,8.6,39.49,$,€,12
71,Mar-17-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,11.6,42.13,$,$,16
72,Jan-03-2026,Southfield GIS Inc.,VA-METRO-ROUTE,16.7,42.08,$,$,23
73,Feb-25-2026,Southfield GIS Inc.,TX-LONG-HAUL,34.2,41.82,$,€,47
74,Mar-13-2026,Southfield GIS Inc.,TX-LONG-HAUL,25.2,40.32,$,£,35
75,Jan-03-2026,Global CAD Solutions,VA-METRO-ROUTE,9.8,41.1,$,£,13
76,Feb-09-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,28.3,41.61,$,$,39
77,Mar-03-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,35.6,40.04,$,£,49
78,Jan-09-2026,Global CAD Solutions,NC-RING,12.1,40.37,$,$,16
79,Feb-06-2026,Southfield GIS Inc.,VA-METRO-ROUTE,9.6,38.91,$,£,13
80,Mar-17-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,14.6,40.01,$,€,20
81,Jan-09-2026,Global CAD Solutions,VA-METRO-ROUTE,33.7,42.48,$,$,47
82,Feb-01-2026,Continental Drafting Ltd.,FL-BACKHAUL,24.2,42.4,$,€,33
83,Mar-08-2026,Continental Drafting Ltd.,OH-EXPANSION,11.4,41.69,$,£,15
84,Jan-18-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,36.4,42.37,$,£,50
85,Feb-08-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,14.4,41.97,$,€,20
86,Mar-13-2026,Global CAD Solutions,VA-METRO-ROUTE,39.4,41.77,$,$,55
87,Jan-21-2026,Global CAD Solutions,FL-BACKHAUL,36.2,39.94,$,$,50
88,Feb-22-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,20.2,40.28,$,£,28
89,Mar-23-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,9.4,38.83,$,£,13
90,Jan-01-2026,Southfield GIS Inc.,VA-METRO-ROUTE,19.7,39.48,$,€,27
91,Feb-08-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,38.9,39.39,$,£,54
92,Mar-01-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,20.2,40.14,$,€,28
93,Jan-08-2026,Dominion Aluminum & Fasteners,NC-RING,32.8,38.41,$,$,45
94,Feb-13-2026,Dominion Aluminum & Fasteners,NC-RING,9.3,38.1,$,£,13
95,Mar-03-2026,Continental Drafting Ltd.,NC-RING,38.6,41.84,$,$,54
96,Jan-25-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,31.1,40.22,$,£,43
97,Feb-02-2026,Continental Drafting Ltd.,PA-DARK-FIBER,34.7,42.01,$,€,48
98,Mar-24-2026,Global CAD Solutions,FL-BACKHAUL,34.0,38.63,$,€,47
99,Jan-27-2026,Dominion Aluminum & Fasteners,FL-BACKHAUL,26.7,42.02,$,€,37
100,Feb-03-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,9.3,40.87,$,$,13
101,Mar-27-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,25.9,40.82,$,€,36
102,Jan-16-2026,Global CAD Solutions,VA-METRO-ROUTE,8.1,41.59,$,€,11
103,Feb-22-2026,Global CAD Solutions,NC-RING,10.1,41.32,$,£,14
104,Mar-28-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,15.5,41.4,$,$,21
105,Jan-16-2026,Southfield GIS Inc.,PA-DARK-FIBER,20.2,40.16,$,€,28
106,Feb-25-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,27.7,40.89,$,$,38
107,Mar-11-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,28.8,41.12,$,€,40
108,Jan-01-2026,Global CAD Solutions,OH-EXPANSION,9.9,39.21,$,€,13
109,Feb-23-2026,Southfield GIS Inc.,TX-LONG-HAUL,29.6,39.31,$,€,41
110,Mar-15-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,22.9,38.53,$,€,32
111,Jan-10-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,38.0,38.08,$,£,53
112,Feb-27-2026,Continental Drafting Ltd.,NC-RING,39.0,40.02,$,£,54
113,Mar-07-2026,Southfield GIS Inc.,TX-LONG-HAUL,10.4,38.41,$,€,14
114,Jan-12-2026,Global CAD Solutions,TX-LONG-HAUL,27.3,40.84,$,£,38
115,Feb-23-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,15.4,42.04,$,£,21
116,Mar-01-2026,Continental Drafting Ltd.,TX-LONG-HAUL,8.1,40.21,$,£,11
117,Jan-10-2026,Global CAD Solutions,FL-BACKHAUL,12.5,39.55,$,£,17
118,Feb-27-2026,Global CAD Solutions,VA-METRO-ROUTE,8.1,41.38,$,£,11
119,Mar-07-2026,Southfield GIS Inc.,FL-BACKHAUL,8.4,41.33,$,£,11
120,Jan-03-2026,Southfield GIS Inc.,OH-EXPANSION,20.5,41.91,$,$,28
121,Feb-14-2026,Global CAD Solutions,PA-DARK-FIBER,16.8,38.22,$,$,23
122,Mar-27-2026,Southfield GIS Inc.,FL-BACKHAUL,17.1,42.21,$,$,23
123,Jan-14-2026,Global CAD Solutions,NC-RING,18.1,41.48,$,£,25
124,Feb-26-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,28.2,42.11,$,€,39
125,Mar-24-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,9.6,41.3,$,£,13
126,Jan-21-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,17.2,38.22,$,€,24
127,Feb-06-2026,Southfield GIS Inc.,OH-EXPANSION,21.3,39.27,$,£,29
128,Mar-13-2026,Continental Drafting Ltd.,FL-BACKHAUL,15.6,40.17,$,€,21
129,Jan-04-2026,Continental Drafting Ltd.,TX-LONG-HAUL,28.6,38.34,$,€,40
130,Feb-18-2026,Continental Drafting Ltd.,TX-LONG-HAUL,22.5,39.5,$,£,31
131,Mar-05-2026,Global CAD Solutions,NC-RING,14.2,38.41,$,£,19
132,Jan-11-2026,Global CAD Solutions,TX-LONG-HAUL,19.8,41.64,$,$,27
133,Feb-24-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,21.2,39.86,$,€,29
134,Mar-13-2026,Southfield GIS Inc.,VA-METRO-ROUTE,18.8,38.28,$,£,26
135,Jan-05-2026,Global CAD Solutions,FL-BACKHAUL,24.1,40.83,$,$,33
136,Feb-09-2026,Southfield GIS Inc.,TX-LONG-HAUL,20.3,40.91,$,£,28
137,Mar-28-2026,Continental Drafting Ltd.,PA-DARK-FIBER,35.9,38.1,$,$,50
138,Jan-23-2026,Continental Drafting Ltd.,PA-DARK-FIBER,36.7,40.13,$,€,51
139,Feb-01-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,20.5,42.17,$,€,28
140,Mar-15-2026,Global CAD Solutions,TX-LONG-HAUL,33.1,39.01,$,$,46
141,Jan-27-2026,Global CAD Solutions,FL-BACKHAUL,30.4,41.81,$,£,42
142,Feb-18-2026,Global CAD Solutions,PA-DARK-FIBER,9.3,41.52,$,$,13
143,Mar-21-2026,Continental Drafting Ltd.,FL-BACKHAUL,17.7,38.58,$,£,24
144,Jan-23-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,11.6,38.32,$,€,16
145,Feb-13-2026,Southfield GIS Inc.,VA-METRO-ROUTE,15.2,40.7,$,$,21
146,Mar-15-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,38.7,40.9,$,$,54
147,Jan-17-2026,Southfield GIS Inc.,TX-LONG-HAUL,25.5,38.13,$,£,35
148,Feb-02-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,14.2,41.98,$,€,19
149,Mar-03-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,15.3,39.91,$,£,21
150,Jan-16-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,30.3,41.23,$,£,42
151,Feb-07-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,33.5,41.33,$,€,46
152,Mar-07-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,39.0,39.4,$,$,54
153,Jan-15-2026,Continental Drafting Ltd.,TX-LONG-HAUL,16.5,42.0,$,$,23
154,Feb-20-2026,Global CAD Solutions,TX-LONG-HAUL,36.7,40.18,$,€,51
155,Mar-20-2026,Dominion Aluminum & Fasteners,TX-LONG-HAUL,37.5,38.24,$,$,52
156,Jan-14-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,30.7,38.83,$,£,42
157,Feb-24-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,39.9,42.19,$,£,55
158,Mar-06-2026,Southfield GIS Inc.,FL-BACKHAUL,37.9,41.36,$,$,53
159,Jan-22-2026,Continental Drafting Ltd.,FL-BACKHAUL,20.1,39.68,$,£,28
160,Feb-06-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,8.1,39.26,$,£,11
161,Mar-04-2026,Southfield GIS Inc.,NC-RING,38.9,38.93,$,£,54
162,Jan-27-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,21.8,38.22,$,£,30
163,Feb-12-2026,Continental Drafting Ltd.,NC-RING,37.4,38.87,$,£,52
164,Mar-01-2026,Global CAD Solutions,FL-BACKHAUL,21.1,41.65,$,£,29
165,Jan-13-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,22.8,41.62,$,$,31
166,Feb-07-2026,Southfield GIS Inc.,FL-BACKHAUL,10.0,40.73,$,£,14
167,Mar-11-2026,Southfield GIS Inc.,NC-RING,9.4,41.36,$,€,13
168,Jan-09-2026,Global CAD Solutions,VA-METRO-ROUTE,8.1,41.4,$,€,11
169,Feb-01-2026,Continental Drafting Ltd.,PA-DARK-FIBER,15.5,40.14,$,£,21
170,Mar-26-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,37.2,41.67,$,$,52
171,Jan-06-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,33.7,41.32,$,€,47
172,Feb-20-2026,Global CAD Solutions,TX-LONG-HAUL,18.5,39.44,$,£,25
173,Mar-17-2026,Global CAD Solutions,TX-LONG-HAUL,20.5,38.72,$,£,28
174,Jan-21-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,23.4,40.45,$,$,32
175,Feb-04-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,16.5,38.38,$,$,23
176,Mar-16-2026,Continental Drafting Ltd.,FL-BACKHAUL,39.1,38.78,$,$,54
177,Jan-15-2026,Global CAD Solutions,NC-RING,36.5,39.06,$,€,51
178,Feb-25-2026,Southfield GIS Inc.,PA-DARK-FIBER,17.4,39.26,$,£,24
179,Mar-09-2026,Dominion Aluminum & Fasteners,FL-BACKHAUL,16.3,39.98,$,$,22
180,Jan-08-2026,Southfield GIS Inc.,TX-LONG-HAUL,17.0,42.08,$,$,23
181,Feb-03-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,16.1,39.11,$,€,22
182,Mar-21-2026,Global CAD Solutions,PA-DARK-FIBER,11.2,40.09,$,$,15
183,Jan-01-2026,Southfield GIS Inc.,OH-EXPANSION,36.3,39.04,$,£,50
184,Feb-02-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,15.5,38.23,$,€,21
185,Mar-03-2026,Southfield GIS Inc.,VA-METRO-ROUTE,24.4,38.8,$,€,34
186,Jan-25-2026,Southfield GIS Inc.,PA-DARK-FIBER,29.3,38.03,$,€,41
187,Feb-07-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,19.8,38.64,$,$,27
188,Mar-02-2026,Southfield GIS Inc.,NC-RING,31.4,42.11,$,$,43
189,Jan-14-2026,Dominion Aluminum & Fasteners,FL-BACKHAUL,19.9,40.79,$,$,27
190,Feb-02-2026,Global CAD Solutions,PA-DARK-FIBER,23.9,40.18,$,£,33
191,Mar-26-2026,Global CAD Solutions,OH-EXPANSION,29.2,38.7,$,€,40
192,Jan-21-2026,Southfield GIS Inc.,TX-LONG-HAUL,20.7,39.22,$,£,28
193,Feb-14-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,18.0,40.55,$,£,25
194,Mar-14-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,35.7,42.48,$,£,49
195,Jan-13-2026,Dominion Aluminum & Fasteners,FL-BACKHAUL,21.0,42.24,$,£,29
196,Feb-14-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,34.3,39.83,$,£,48
197,Mar-25-2026,Continental Drafting Ltd.,TX-LONG-HAUL,12.2,38.23,$,$,17
198,Jan-03-2026,Dominion Aluminum & Fasteners,NC-RING,27.9,39.67,$,€,39
199,Feb-05-2026,Global CAD Solutions,VA-METRO-ROUTE,17.1,40.35,$,$,23
200,Mar-13-2026,Southfield GIS Inc.,OH-EXPANSION,32.1,41.56,$,$,44
201,Jan-05-2026,Southfield GIS Inc.,PA-DARK-FIBER,38.2,42.39,$,£,53
202,Feb-02-2026,Dominion Aluminum & Fasteners,NC-RING,37.6,39.75,$,€,52
203,Mar-21-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,35.4,40.79,$,€,49
204,Jan-27-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,13.9,38.98,$,£,19
205,Feb-13-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,11.9,39.11,$,€,16
206,Mar-02-2026,Southfield GIS Inc.,NC-RING,35.0,41.03,$,€,49
207,Jan-04-2026,Southfield GIS Inc.,OH-EXPANSION,27.2,40.48,$,€,38
208,Feb-21-2026,Southfield GIS Inc.,OH-EXPANSION,17.9,39.12,$,£,25
209,Mar-15-2026,Continental Drafting Ltd.,NC-RING,22.0,38.11,$,€,30
210,Jan-15-2026,Dominion Aluminum & Fasteners,TX-LONG-HAUL,22.3,40.78,$,£,31
211,Feb-26-2026,Continental Drafting Ltd.,OH-EXPANSION,20.8,38.3,$,£,29
212,Mar-12-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,33.7,40.27,$,€,47
213,Jan-02-2026,Global CAD Solutions,FL-BACKHAUL,12.2,42.15,$,£,17
214,Feb-02-2026,Global CAD Solutions,PA-DARK-FIBER,24.1,39.7,$,$,33
215,Mar-28-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,39.9,41.29,$,$,55
216,Jan-05-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,17.2,41.65,$,$,24
217,Feb-03-2026,Southfield GIS Inc.,PA-DARK-FIBER,19.2,41.4,$,$,26
218,Mar-20-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,37.0,40.05,$,£,51
219,Jan-07-2026,Southfield GIS Inc.,NC-RING,16.4,40.28,$,£,22
220,Feb-02-2026,Southfield GIS Inc.,TX-LONG-HAUL,13.8,38.73,$,£,19
221,Mar-13-2026,Global CAD Solutions,TX-LONG-HAUL,33.3,39.19,$,€,46
222,Jan-21-2026,Global CAD Solutions,PA-DARK-FIBER,19.5,41.93,$,€,27
223,Feb-09-2026,Southfield GIS Inc.,NC-RING,28.2,39.77,$,£,39
224,Mar-13-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,26.5,39.62,$,$,37
225,Jan-08-2026,Southfield GIS Inc.,TX-LONG-HAUL,27.7,42.31,$,£,38
226,Feb-10-2026,Southfield GIS Inc.,FL-BACKHAUL,38.9,41.92,$,€,54
227,Mar-24-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,31.9,39.0,$,£,44
228,Jan-14-2026,Dominion Aluminum & Fasteners,NC-RING,19.7,38.21,$,£,27
229,Feb-20-2026,Southfield GIS Inc.,FL-BACKHAUL,9.5,38.24,$,€,13
230,Mar-10-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,24.7,40.4,$,£,34
231,Jan-19-2026,Dominion Aluminum & Fasteners,TX-LONG-HAUL,14.5,40.81,$,£,20
232,Feb-05-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,38.0,39.1,$,$,53
233,Mar-04-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,28.4,41.92,$,£,39
234,Jan-26-2026,Southfield GIS Inc.,VA-METRO-ROUTE,38.9,38.25,$,€,54
235,Feb-20-2026,Continental Drafting Ltd.,FL-BACKHAUL,26.5,40.71,$,€,37
236,Mar-08-2026,Global CAD Solutions,TX-LONG-HAUL,36.9,38.2,$,€,51
237,Jan-13-2026,Global CAD Solutions,TX-LONG-HAUL,15.6,38.26,$,$,21
238,Feb-20-2026,Dominion Aluminum & Fasteners,NC-RING,29.0,38.89,$,£,40
239,Mar-17-2026,Dominion Aluminum & Fasteners,NC-RING,28.6,40.91,$,£,40
240,Jan-17-2026,Continental Drafting Ltd.,VA-METRO-ROUTE,10.0,40.82,$,€,14
241,Feb-23-2026,Continental Drafting Ltd.,NC-RING,8.2,41.8,$,€,11
242,Mar-03-2026,Southfield GIS Inc.,FL-BACKHAUL,29.0,38.79,$,$,40
243,Jan-08-2026,Southfield GIS Inc.,FL-BACKHAUL,9.2,39.51,$,€,12
244,Feb-23-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,16.5,40.49,$,£,23
245,Mar-10-2026,Global CAD Solutions,FL-BACKHAUL,37.7,42.02,$,$,52
246,Jan-06-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,37.0,41.79,$,$,51
247,Feb-24-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,14.1,39.75,$,€,19
248,Mar-13-2026,Continental Drafting Ltd.,PA-DARK-FIBER,28.2,41.12,$,€,39
249,Jan-16-2026,Continental Drafting Ltd.,PA-DARK-FIBER,25.0,38.03,$,$,35
250,Feb-24-2026,Continental Drafting Ltd.,TX-LONG-HAUL,26.3,39.38,$,$,36
251,Mar-20-2026,Global CAD Solutions,NC-RING,10.5,42.1,$,$,14
252,Jan-01-2026,Dominion Aluminum & Fasteners,TN-CORRIDOR-FIBER,11.4,42.18,$,£,15
253,Feb-23-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,9.0,38.62,$,€,12
254,Mar-23-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,31.6,38.3,$,€,44
255,Jan-07-2026,Global CAD Solutions,PA-DARK-FIBER,38.5,40.4,$,€,53
256,Feb-28-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,37.3,42.25,$,$,52
257,Mar-07-2026,Global CAD Solutions,TX-LONG-HAUL,11.6,38.15,$,€,16
258,Jan-27-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,28.2,39.29,$,$,39
259,Feb-04-2026,Southfield GIS Inc.,PA-DARK-FIBER,32.2,38.92,$,£,45
260,Mar-14-2026,Global CAD Solutions,VA-METRO-ROUTE,8.7,39.16,$,£,12
261,Jan-23-2026,Continental Drafting Ltd.,PA-DARK-FIBER,19.8,39.44,$,€,27
262,Feb-28-2026,Global CAD Solutions,VA-METRO-ROUTE,27.8,38.14,$,£,38
263,Mar-14-2026,Global CAD Solutions,NC-RING,32.7,39.56,$,€,45
264,Jan-18-2026,Southfield GIS Inc.,NC-RING,14.9,41.88,$,$,20
265,Feb-06-2026,Global CAD Solutions,OH-EXPANSION,8.0,38.91,$,$,11
266,Mar-12-2026,Continental Drafting Ltd.,OH-EXPANSION,11.1,41.13,$,$,15
267,Jan-19-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,38.6,40.32,$,€,54
268,Feb-10-2026,Dominion Aluminum & Fasteners,PA-DARK-FIBER,14.9,41.15,$,£,20
269,Mar-04-2026,Global CAD Solutions,FL-BACKHAUL,32.5,40.21,$,€,45
270,Jan-21-2026,Global CAD Solutions,VA-METRO-ROUTE,19.4,39.81,$,£,27
271,Feb-14-2026,Continental Drafting Ltd.,FL-BACKHAUL,8.8,38.93,$,£,12
272,Mar-18-2026,Dominion Aluminum & Fasteners,NC-RING,13.5,42.42,$,€,18
273,Jan-15-2026,Global CAD Solutions,TX-LONG-HAUL,25.0,41.4,$,€,35
274,Feb-12-2026,Southfield GIS Inc.,NC-RING,18.5,38.7,$,£,25
275,Mar-06-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,22.0,41.48,$,€,30
276,Jan-05-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,22.8,41.98,$,$,31
277,Feb-09-2026,Dominion Aluminum & Fasteners,VA-METRO-ROUTE,32.2,41.72,$,€,45
278,Mar-24-2026,Southfield GIS Inc.,TX-LONG-HAUL,39.2,41.25,$,€,54
279,Jan-06-2026,Global CAD Solutions,TX-LONG-HAUL,18.5,38.85,$,€,25
280,Feb-06-2026,Southfield GIS Inc.,FL-BACKHAUL,11.3,39.73,$,$,15
281,Mar-24-2026,Global CAD Solutions,VA-METRO-ROUTE,21.9,38.88,$,€,30
282,Jan-09-2026,Continental Drafting Ltd.,TX-LONG-HAUL,36.3,40.09,$,$,50
